name,type,city,country,iata,icao,faa
A & L,Small airport,Calhoun,United States,,96KY,96KY
A & P Airpark,Small airport,Slaughter,United States,,LS77,LS77
A 511,Medium airport,,South Korea,,RKSG,
A A Helicopters Inc,Heliport,North Salt Lake,United States,,UT39,UT39
A A Ranch,Small airport,Encampment,United States,,WY11,WY11
A and K,Heliport,New Boston,United States,,28NH,28NH
A B Dock Services,Heliport,Cameron,United States,,32LA,32LA
A C Goodwin Memorial Field Gliderport,Small airport,Coyote Springs,United States,,AZ86,AZ86
A Coruña,Medium airport,Culleredo,Spain,LCG,LECO,
A G A Farms,Small airport,Perkasie,United States,,61PN,61PN
A G Spanos Companies Hq,Heliport,Stockton,United States,,8CL4,8CL4
A I M,Heliport,Boca Raton,United States,,58FL,58FL
A J Oster Co.,Closed,Watertown,United States,,,CT67
A J's,Closed,Casa,United States,,,6AR2
A M Classics,Closed,Woodstown,United States,,,4NJ7
A P Hill AAF (Fort A P Hill),Small airport,Fort A. P. Hill,United States,APH,KAPH,APH
A Paul Vance Fredericktown Regional,Small airport,Fredericktown,United States,,,H88
A T I,Heliport,Belleville,United States,,7MI9,7MI9
A Universal,Heliport,São Paulo,Brazil,,SJUV,
A Z Minerals Corporation,Small airport,Mexican Hat,United States,,03UT,03UT
A.H. Butz Downtown Allentown,Heliport,Allentown,United States,,24PN,24PN
A.I.Dupont Institute,Closed,Wilmington,United States,,,DE28
A.I.Dupont Institute,Heliport,Wilmington,United States,,DE28,16DE
A.R.S. Sport Strip,Small airport,Belle Plaine,United States,,7Y7,7Y7
Aachen-Merzbrück,Small airport,Aachen,Germany,AAH,EDKA,
AAF,Heliport,Lucas,United States,,XA63,XA63
Aalborg,Large airport,Aalborg,Denmark,AAL,EKYT,
Aalen-Heidenheim/Elchingen,Small airport,Aalen,Germany,,EDPA,
Aalst Hospital Helistrip,Heliport,Aalst,Belgium,,EBAL,
Aamby Valley,Small airport,Aamby Valley City,India,,,
Aappilattoq (Kujalleq),Heliport,Nanortalik,Greenland,QUV,BGAQ,
Aappilattoq (Qaasuitsup),Heliport,Qaasuitsup,Greenland,,BGAG,
Aarhus,Medium airport,Aarhus,Denmark,AAR,EKAH,
Aaron Penston Field,Small airport,South Boston,United States,,1VA7,1VA7
Aaron's Field,Closed,Aurora,United States,,,14NE
Aasiaat,Medium airport,Aasiaat,Greenland,JEG,BGAA,
Aavahelukka,Small airport,,Finland,,EFAA,
Aba,Small airport,Barreiras,Brazil,,SNDH,
Aba,Small airport,Aba,Congo (Kinshasa),,FZJF,
Aba Tenna Dejazmach Yilma International,Medium airport,Dire Dawa,Ethiopia,DIR,HADR,
Abaco I Walker C,Small airport,,Bahamas,WKR,MYAW,
Abacus Tower,Heliport,Phoenix,United States,,AZ41,AZ41
Abadan,Medium airport,Abadan,Iran,ABD,OIAA,
Abadeh,Small airport,Abadeh,Iran,,OISA,
Abaeté,Small airport,Abaeté,Brazil,,SNLI,
Abaiang,Small airport,Abaiang,Kiribati,ABF,NGAB,
Abakan,Medium airport,Abakan,Russia,ABA,UNAA,
Aban,Small airport,Aban,Russia,,UNQA,
Abaré,Small airport,Abaré,Brazil,,SDLI,
Abau,Closed,Abau,Papua New Guinea,ABW,,
Abay Bazar,Small airport,Abay,Kazakhstan,,,
Abba's,Small airport,Sheridan,United States,,91OR,91OR
Abbaye,Small airport,Boghe,Mauritania,BGH,GQNE,
Abbeville,Medium airport,Abbeville,France,XAB,LFOI,
Abbeville,Small airport,Abbeville,United States,,SC81,SC81
Abbeville Chris Crusta Memorial,Small airport,Abbeville,United States,,KIYA,IYA
Abbeville County Memorial Hospital,Heliport,Abbeville,United States,,SC83,SC83
Abbeville General Hospital,Heliport,Abbeville,United States,,LA95,LA95
Abbeville Municipal,Small airport,Abbeville,United States,,0J0,0J0
Abbey Etna,Heliport,Perrysburg,United States,,68OI,68OI
Abbeyshrule Aerodrome,Small airport,Abbeyshrule,Ireland,,EIAB,
Abbotsford,Medium airport,Abbotsford,Canada,YXX,CYXX,
Abbotsford (Regional Hospital & Cancer Centre),Heliport,Abbotsford,Canada,,CAB5,
Abbotsford (Sumas Mountain),Heliport,,Canada,,CSM7,
Abbotsford (Teck),Heliport,,Canada,,CTK8,
Abbott,Closed,Long Pine,United States,,,83NE
Abbott Northwestern Hospital,Closed,Minneapolis,United States,,,MN10
Abbottabad,Small airport,Abbottabad,Pakistan,AAW,OPAB,
Abbse,Small airport,Abbse,Yemen,EAB,OYAB,
ABC 33/40,Heliport,Hoover,United States,,AL70,AL70
ABC-TV,Heliport,Los Angeles,United States,,22CN,22CN
Abc7-Tv,Heliport,Glendale,United States,,06CL,06CL
Abdanan,Small airport,Abdanan,Iran,,OICD,
Abdul Rachman Saleh,Small airport,Malang-Java Island,Indonesia,MLG,WARA,
Abeche,Medium airport,,Chad,AEH,FTTC,
Abeid Amani Karume International,Medium airport,Zanzibar,Tanzania,ZNZ,HTZA,
Abel Monteverde,Heliport,Monte Buey,Argentina,,,
Abel Ranch,Small airport,Kalispell,United States,,17MT,17MT
Abel Santamaria,Medium airport,Santa Clara,Cuba,SNU,MUSC,
Abemama Atoll,Small airport,Abemama Atoll,Kiribati,AEA,NGTB,
Abengourou,Small airport,Abengourou,Côte d'Ivoire,OGO,DIAU,
Aberdeen,Small airport,Aberdeen,Zimbabwe,,FVAB,
Aberdeen,Small airport,Aberdeen,South Africa,,FAAE,
Aberdeen Dyce,Large airport,Aberdeen,United Kingdom,ABZ,EGPD,
Aberdeen Field,Small airport,Smithfield,United States,,31VA,31VA
Aberdeen Municipal,Small airport,Aberdeen,United States,,U36,U36
Aberdeen Regional,Medium airport,Aberdeen,United States,ABR,KABR,ABR
Abernathy Field,Small airport,Pulaski,United States,,KGZS,GZS
Abernathy Municipal,Small airport,Abernathy,United States,,F83,F83
Aberporth,Small airport,Aberporth,United Kingdom,,EGFA,
Abha Regional,Medium airport,Abha,Saudi Arabia,AHB,OEAB,
Abi,Small airport,Palmer,United States,,AK46,AK46
Abide Airpark,Small airport,Greenville,United States,,MS30,MS30
Abie Sky Ranch,Closed,Abie,United States,,,NE27
Abilene Executive Airpark,Small airport,Abilene,United States,,TX00,TX00
Abilene Municipal,Small airport,Abilene,United States,,K78,K78
Abilene Regional,Medium airport,Abilene,United States,ABI,KABI,ABI
Abilene Regional Medical Center,Heliport,Abilene,United States,,4TX1,4TX1
Abingdon Downs,Small airport,,Australia,ABG,YABI,
Abington Memorial Hospital,Heliport,Abington,United States,,PN03,PN03
